id,text
169,ugh... delivery took foreverrr 😤😤 💀
170,LOVED the new update!!! 💯💯🔥 ...
171,order canceled without reason?? 💀
172,wtf was that error msg lol 😂😂 asap
173,why the payment keeps failing 😡 @company pls fix!!
174,what the hell is wrong with ur app?? 😤😤!!!
175,ugh... delivery took foreverrr 😤😤 omg
176,horrible! never ordering again 🤦‍♂️ #fail
177,Received item late but okay quality. #fail
178,yayyyy my order arrived 🥳🥳🥳
179,horrible! never ordering again 🤦‍♂️ smh
180,wtf was that error msg lol 😂😂 ...
181,ugh... delivery took foreverrr 😤😤 frfr
182,Received item late but okay quality. #fail
183,update ruined everything smh 😩 haha
184,OMG 😍😍 this app is sooo cool!!! #awesome haha
185,wtf was that error msg lol 😂😂 #fail
186,ugh... delivery took foreverrr 😤😤 tbh
187,LOVED the new update!!! 💯💯🔥 😂😂
188,idk man... the site keeps lagging :( @brand
189,why the payment keeps failing 😡 @company pls fix!!!!!
190,horrible! never ordering again 🤦‍♂️ 💀
191,LOVED the new update!!! 💯💯🔥 ...
192,yayyyy my order arrived 🥳🥳🥳 🤣
193,yayyyy my order arrived 🥳🥳🥳 asap
194,customer srvc was great 👍👍 tbh
195,haha they actually fixed it fast 👏👏!!!
196,OMG 😍😍 this app is sooo cool!!! #awesome #fail
197,idk man... the site keeps lagging :( lol
198,Product okish... not bad tbh. smh
199,haha they actually fixed it fast 👏👏 #review
200,what the hell is wrong with ur app?? 😤😤 pls fix
201,customer srvc was great 👍👍 frfr
202,brooo this thing is AMAZINGGG 😍🔥 frfr
203,no issues so far. nice job. #loveit
204,ugh... delivery took foreverrr 😤😤 asap
205,customer srvc was great 👍👍 #loveit
206,update ruined everything smh 😩 @brand
207,LOVED the new update!!! 💯💯🔥 omg
208,horrible! never ordering again 🤦‍♂️ 🤣
209,wtf was that error msg lol 😂😂
210,what the hell is wrong with ur app?? 😤😤 #fail
211,customer srvc was great 👍👍 lol
212,OMG 😍😍 this app is sooo cool!!! #awesome #review
213,quality was fine ig 🤷‍♂️ @brand
214,ugh... delivery took foreverrr 😤😤 pls fix
215,wtf was that error msg lol 😂😂 lol
216,no issues so far. nice job. pls fix
217,order canceled without reason?? tbh
218,haha they actually fixed it fast 👏👏 🤣
219,horrible! never ordering again 🤦‍♂️ #fail
220,OMG 😍😍 this app is sooo cool!!! #awesome!!!
221,what the hell is wrong with ur app?? 😤😤 💀
222,update ruined everything smh 😩 pls fix
223,ugh... delivery took foreverrr 😤😤 ...
224,update ruined everything smh 😩 😂😂
225,LOVED the new update!!! 💯💯🔥 #fail
226,ugh... delivery took foreverrr 😤😤 lol
227,yayyyy my order arrived 🥳🥳🥳 haha
228,quality was fine ig 🤷‍♂️
229,Product okish... not bad tbh. pls fix
230,order canceled without reason?? omg
231,order canceled without reason?? pls fix
232,ugh... delivery took foreverrr 😤😤 pls fix
233,wtf was that error msg lol 😂😂 tbh
234,horrible! never ordering again 🤦‍♂️ 🤣
235,idk man... the site keeps lagging :( haha
236,horrible! never ordering again 🤦‍♂️ haha
237,OMG 😍😍 this app is sooo cool!!! #awesome #fail
238,what the hell is wrong with ur app?? 😤😤 omg
239,update ruined everything smh 😩 smh
240,OMG 😍😍 this app is sooo cool!!! #awesome 🤣
241,order canceled without reason?? smh
242,brooo this thing is AMAZINGGG 😍🔥!!!
243,wtf was that error msg lol 😂😂!!!
244,customer srvc was great 👍👍 💀
245,Received item late but okay quality. asap
246,order canceled without reason?? 💀
247,no issues so far. nice job. #fail
248,horrible! never ordering again 🤦‍♂️ haha
249,meh... okay experience overall.
250,LOVED the new update!!! 💯💯🔥 ...
251,idk man... the site keeps lagging :( omg
252,order canceled without reason?? lol
253,meh... okay experience overall. asap
254,what the hell is wrong with ur app?? 😤😤 tbh
255,idk man... the site keeps lagging :( 💀
256,customer srvc was great 👍👍!!!
257,customer srvc was great 👍👍 🤣
258,customer srvc was great 👍👍 asap
259,no issues so far. nice job. asap
260,Received item late but okay quality. #fail
261,brooo this thing is AMAZINGGG 😍🔥 frfr
262,ugh... delivery took foreverrr 😤😤 @brand
263,OMG 😍😍 this app is sooo cool!!! #awesome
264,what the hell is wrong with ur app?? 😤😤 #review
265,brooo this thing is AMAZINGGG 😍🔥 asap
266,Received item late but okay quality. #review
267,quality was fine ig 🤷‍♂️ 🤣
268,customer srvc was great 👍👍 #review
269,update ruined everything smh 😩 #review
270,ugh... delivery took foreverrr 😤😤 asap
271,no issues so far. nice job. #fail
272,OMG 😍😍 this app is sooo cool!!! #awesome asap
273,ugh... delivery took foreverrr 😤😤 #fail
274,Product okish... not bad tbh. 💀
275,customer srvc was great 👍👍 #fail
276,meh... okay experience overall.
277,meh... okay experience overall. pls fix
278,LOVED the new update!!! 💯💯🔥 omg
279,quality was fine ig 🤷‍♂️ omg
280,OMG 😍😍 this app is sooo cool!!! #awesome
281,wtf was that error msg lol 😂😂 @brand
282,why the payment keeps failing 😡 @company pls fix!! 😂😂
283,haha they actually fixed it fast 👏👏 omg
284,horrible! never ordering again 🤦‍♂️ 🤣
285,no issues so far. nice job. #fail
286,Received item late but okay quality. 😂😂
287,Product okish... not bad tbh. @brand
288,update ruined everything smh 😩 🤣
289,update ruined everything smh 😩!!!
290,what the hell is wrong with ur app?? 😤😤!!!
291,Received item late but okay quality. ...
292,ugh... delivery took foreverrr 😤😤 #review
293,update ruined everything smh 😩 #review
294,ugh... delivery took foreverrr 😤😤 💀
295,quality was fine ig 🤷‍♂️!!!
296,ugh... delivery took foreverrr 😤😤 smh
297,brooo this thing is AMAZINGGG 😍🔥 ...
298,why the payment keeps failing 😡 @company pls fix!! asap
299,yayyyy my order arrived 🥳🥳🥳 #loveit
300,OMG 😍😍 this app is sooo cool!!! #awesome pls fix
301,quality was fine ig 🤷‍♂️ tbh
302,horrible! never ordering again 🤦‍♂️ asap
303,ugh... delivery took foreverrr 😤😤 😂😂
304,wtf was that error msg lol 😂😂!!!
305,idk man... the site keeps lagging :( lol
306,Received item late but okay quality. #fail
307,haha got refund today finally 😂😂 ...
308,what the hell is wrong with ur app?? 😤😤 #review
309,idk man... the site keeps lagging :( tbh
310,meh... okay experience overall. lol
311,ugh... delivery took foreverrr 😤😤 💀
312,order canceled without reason?? #fail
313,Received item late but okay quality. #loveit
314,what the hell is wrong with ur app?? 😤😤 pls fix
315,idk man... the site keeps lagging :( frfr
316,no issues so far. nice job. tbh
317,order canceled without reason?? tbh
318,haha they actually fixed it fast 👏👏 🤣
319,yayyyy my order arrived 🥳🥳🥳 😂😂
320,Received item late but okay quality. #review
321,OMG 😍😍 this app is sooo cool!!! #awesome #loveit
322,yayyyy my order arrived 🥳🥳🥳 omg
323,customer srvc was great 👍👍 asap
324,idk man... the site keeps lagging :( pls fix
325,update ruined everything smh 😩 omg
326,wtf was that error msg lol 😂😂 🤣
327,LOVED the new update!!! 💯💯🔥 lol
328,yayyyy my order arrived 🥳🥳🥳
329,brooo this thing is AMAZINGGG 😍🔥 pls fix
330,why the payment keeps failing 😡 @company pls fix!! #loveit
331,horrible! never ordering again 🤦‍♂️ #loveit
332,Product okish... not bad tbh. tbh
333,haha got refund today finally 😂😂 #review
334,yayyyy my order arrived 🥳🥳🥳 💀
335,wtf was that error msg lol 😂😂
336,OMG 😍😍 this app is sooo cool!!! #awesome
337,LOVED the new update!!! 💯💯🔥 @brand
338,horrible! never ordering again 🤦‍♂️ smh
339,brooo this thing is AMAZINGGG 😍🔥 haha
340,wtf was that error msg lol 😂😂 tbh
341,wtf was that error msg lol 😂😂 #loveit
342,order canceled without reason?? asap
343,Product okish... not bad tbh. omg
344,no issues so far. nice job. tbh
345,update ruined everything smh 😩 #loveit
346,LOVED the new update!!! 💯💯🔥 omg
347,OMG 😍😍 this app is sooo cool!!! #awesome tbh
348,OMG 😍😍 this app is sooo cool!!! #awesome #review
349,no issues so far. nice job.
350,idk man... the site keeps lagging :(!!!
351,customer srvc was great 👍👍 @brand
352,LOVED the new update!!! 💯💯🔥 tbh
353,OMG 😍😍 this app is sooo cool!!! #awesome #review
354,what the hell is wrong with ur app?? 😤😤
355,meh... okay experience overall. 🤣
356,Product okish... not bad tbh. haha
357,customer srvc was great 👍👍!!!
358,horrible! never ordering again 🤦‍♂️ lol
359,update ruined everything smh 😩 💀
360,brooo this thing is AMAZINGGG 😍🔥 lol
361,wtf was that error msg lol 😂😂 💀
362,why the payment keeps failing 😡 @company pls fix!! pls fix
363,customer srvc was great 👍👍 #loveit
364,LOVED the new update!!! 💯💯🔥 #fail
365,meh... okay experience overall. 😂😂
366,haha they actually fixed it fast 👏👏 😂😂
367,brooo this thing is AMAZINGGG 😍🔥 omg
368,what the hell is wrong with ur app?? 😤😤 asap
369,update ruined everything smh 😩
370,customer srvc was great 👍👍 ...
371,order canceled without reason?? 💀
372,what the hell is wrong with ur app?? 😤😤 @brand
373,wtf was that error msg lol 😂😂 @brand
374,horrible! never ordering again 🤦‍♂️!!!
375,haha got refund today finally 😂😂 pls fix
376,update ruined everything smh 😩 😂😂
377,yayyyy my order arrived 🥳🥳🥳 haha
378,haha they actually fixed it fast 👏👏 #fail
379,yayyyy my order arrived 🥳🥳🥳 💀
380,brooo this thing is AMAZINGGG 😍🔥 #fail
381,horrible! never ordering again 🤦‍♂️ 🤣
382,LOVED the new update!!! 💯💯🔥 #fail
383,customer srvc was great 👍👍 lol
384,order canceled without reason?? #loveit
385,brooo this thing is AMAZINGGG 😍🔥 frfr
386,wtf was that error msg lol 😂😂 #fail
387,haha got refund today finally 😂😂 tbh
388,meh... okay experience overall. 🤣
389,no issues so far. nice job. #fail
390,no issues so far. nice job. pls fix
391,order canceled without reason??!!!
392,ugh... delivery took foreverrr 😤😤
393,order canceled without reason??!!!
394,wtf was that error msg lol 😂😂!!!
395,wtf was that error msg lol 😂😂 😂😂
396,what the hell is wrong with ur app?? 😤😤 😂😂
397,what the hell is wrong with ur app?? 😤😤 frfr
398,Product okish... not bad tbh. frfr
399,Product okish... not bad tbh. #review
400,haha they actually fixed it fast 👏👏 asap
