id,text,cleaned,sentiment
16,LOVED the new update!!! 💯💯🔥 omg,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'omg']",positive
17,customer srvc was great 👍👍 lol,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'lol']",positive
18,haha got refund today finally 😂😂 🤣,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy', 'rolling_on_the_floor_laughing']",positive
19,brooo this thing is AMAZINGGG 😍🔥!!!,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
20,haha got refund today finally 😂😂 #fail,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
21,why the payment keeps failing 😡 @company pls fix!! 😂😂,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
22,Received item late but okay quality. frfr,"['received', 'item', 'late', 'okay', 'quality', 'frfr']",negative
23,wtf was that error msg lol 😂😂 tbh,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'tbh']",negative
24,LOVED the new update!!! 💯💯🔥 smh,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'smh']",neutral
25,yayyyy my order arrived 🥳🥳🥳 @brand,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face']",positive
26,what the hell is wrong with ur app?? 😤😤!!!,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
27,Received item late but okay quality. lol,"['received', 'item', 'late', 'okay', 'quality', 'lol']",neutral
28,ugh... delivery took foreverrr 😤😤 💀,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
29,Received item late but okay quality. 😂😂,"['received', 'item', 'late', 'okay', 'quality', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
30,horrible! never ordering again 🤦‍♂️ frfr,"['horrible', 'ordering', 'man_facepalming', 'frfr']",negative
31,update ruined everything smh 😩 pls fix,"['update', 'ruined', 'smh', 'weary_face', 'pls', 'fix']",negative
32,meh... okay experience overall. 🤣,"['meh', 'okay', 'experience', 'overall', 'rolling_on_the_floor_laughing']",negative
33,idk man... the site keeps lagging :(!!!,"['idk', 'man', 'site', 'keeps', 'lagging']",negative
34,brooo this thing is AMAZINGGG 😍🔥 frfr,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'frfr']",positive
35,quality was fine ig 🤷‍♂️ @brand,"['quality', 'fine', 'ig', 'man_shrugging']",negative
36,ugh... delivery took foreverrr 😤😤 frfr,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'frfr']",negative
37,quality was fine ig 🤷‍♂️ #loveit,"['quality', 'fine', 'ig', 'man_shrugging']",negative
38,haha got refund today finally 😂😂 #fail,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
39,no issues so far. nice job. @brand,"['issues', 'far', 'nice', 'job']",neutral
40,ugh... delivery took foreverrr 😤😤,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
41,yayyyy my order arrived 🥳🥳🥳 lol,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'lol']",positive
42,no issues so far. nice job. frfr,"['issues', 'far', 'nice', 'job', 'frfr']",neutral
43,what the hell is wrong with ur app?? 😤😤 🤣,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'rolling_on_the_floor_laughing']",negative
44,ugh... delivery took foreverrr 😤😤 frfr,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'frfr']",negative
45,brooo this thing is AMAZINGGG 😍🔥 🤣,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'rolling_on_the_floor_laughing']",positive
46,LOVED the new update!!! 💯💯🔥 😂😂,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
47,haha got refund today finally 😂😂,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
48,quality was fine ig 🤷‍♂️!!!,"['quality', 'fine', 'ig', 'man_shrugging']",negative
49,what the hell is wrong with ur app?? 😤😤 💀,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
50,OMG 😍😍 this app is sooo cool!!! #awesome #review,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
51,horrible! never ordering again 🤦‍♂️ frfr,"['horrible', 'ordering', 'man_facepalming', 'frfr']",negative
52,brooo this thing is AMAZINGGG 😍🔥 @brand,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
53,Received item late but okay quality. 💀,"['received', 'item', 'late', 'okay', 'quality', 'skull']",negative
54,quality was fine ig 🤷‍♂️ @brand,"['quality', 'fine', 'ig', 'man_shrugging']",negative
55,idk man... the site keeps lagging :( #loveit,"['idk', 'man', 'site', 'keeps', 'lagging']",negative
56,haha they actually fixed it fast 👏👏 @brand,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands']",positive
57,order canceled without reason?? ...,"['order', 'canceled', 'reason']",negative
58,no issues so far. nice job. #fail,"['issues', 'far', 'nice', 'job']",neutral
59,LOVED the new update!!! 💯💯🔥 lol,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'lol']",positive
60,haha they actually fixed it fast 👏👏 🤣,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'rolling_on_the_floor_laughing']",positive
61,horrible! never ordering again 🤦‍♂️ 😂😂,"['horrible', 'ordering', 'man_facepalming', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
62,OMG 😍😍 this app is sooo cool!!! #awesome 😂😂,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
63,haha got refund today finally 😂😂 🤣,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy', 'rolling_on_the_floor_laughing']",positive
64,customer srvc was great 👍👍 ...,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
65,haha got refund today finally 😂😂 ...,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
66,horrible! never ordering again 🤦‍♂️ frfr,"['horrible', 'ordering', 'man_facepalming', 'frfr']",negative
67,ugh... delivery took foreverrr 😤😤 omg,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'omg']",negative
68,why the payment keeps failing 😡 @company pls fix!! @brand,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix']",negative
69,Product okish... not bad tbh. #loveit,"['product', 'okish', 'bad', 'tbh']",negative
70,OMG 😍😍 this app is sooo cool!!! #awesome tbh,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'tbh']",positive
71,idk man... the site keeps lagging :( #loveit,"['idk', 'man', 'site', 'keeps', 'lagging']",negative
72,OMG 😍😍 this app is sooo cool!!! #awesome smh,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'smh']",positive
73,brooo this thing is AMAZINGGG 😍🔥 😂😂,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
74,quality was fine ig 🤷‍♂️ tbh,"['quality', 'fine', 'ig', 'man_shrugging', 'tbh']",negative
75,meh... okay experience overall. asap,"['meh', 'okay', 'experience', 'overall', 'asap']",negative
76,meh... okay experience overall. tbh,"['meh', 'okay', 'experience', 'overall', 'tbh']",negative
77,meh... okay experience overall. smh,"['meh', 'okay', 'experience', 'overall', 'smh']",negative
78,Product okish... not bad tbh. smh,"['product', 'okish', 'bad', 'tbh', 'smh']",negative
79,OMG 😍😍 this app is sooo cool!!! #awesome tbh,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'tbh']",positive
80,wtf was that error msg lol 😂😂 omg,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'omg']",neutral
81,Product okish... not bad tbh. ...,"['product', 'okish', 'bad', 'tbh']",negative
82,meh... okay experience overall.,"['meh', 'okay', 'experience', 'overall']",negative
83,yayyyy my order arrived 🥳🥳🥳 haha,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'haha']",positive
84,no issues so far. nice job.!!!,"['issues', 'far', 'nice', 'job']",neutral
85,Product okish... not bad tbh. pls fix,"['product', 'okish', 'bad', 'tbh', 'pls', 'fix']",negative
86,Product okish... not bad tbh. frfr,"['product', 'okish', 'bad', 'tbh', 'frfr']",negative
87,brooo this thing is AMAZINGGG 😍🔥!!!,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
88,ugh... delivery took foreverrr 😤😤 💀,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
89,Product okish... not bad tbh. omg,"['product', 'okish', 'bad', 'tbh', 'omg']",negative
90,customer srvc was great 👍👍 @brand,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
91,OMG 😍😍 this app is sooo cool!!! #awesome!!!,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
92,haha got refund today finally 😂😂 #review,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
93,brooo this thing is AMAZINGGG 😍🔥 🤣,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'rolling_on_the_floor_laughing']",positive
94,quality was fine ig 🤷‍♂️ #fail,"['quality', 'fine', 'ig', 'man_shrugging']",negative
95,brooo this thing is AMAZINGGG 😍🔥 pls fix,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'pls', 'fix']",positive
96,idk man... the site keeps lagging :( #loveit,"['idk', 'man', 'site', 'keeps', 'lagging']",negative
97,customer srvc was great 👍👍 #loveit,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
98,haha got refund today finally 😂😂 @brand,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
99,update ruined everything smh 😩 #loveit,"['update', 'ruined', 'smh', 'weary_face']",negative
100,update ruined everything smh 😩 frfr,"['update', 'ruined', 'smh', 'weary_face', 'frfr']",negative
101,Received item late but okay quality. @brand,"['received', 'item', 'late', 'okay', 'quality']",negative
102,what the hell is wrong with ur app?? 😤😤 lol,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'lol']",negative
103,wtf was that error msg lol 😂😂!!!,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
104,meh... okay experience overall. pls fix,"['meh', 'okay', 'experience', 'overall', 'pls', 'fix']",negative
105,haha they actually fixed it fast 👏👏 pls fix,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'pls', 'fix']",neutral
106,no issues so far. nice job. omg,"['issues', 'far', 'nice', 'job', 'omg']",neutral
107,idk man... the site keeps lagging :( lol,"['idk', 'man', 'site', 'keeps', 'lagging', 'lol']",negative
108,idk man... the site keeps lagging :( omg,"['idk', 'man', 'site', 'keeps', 'lagging', 'omg']",negative
109,quality was fine ig 🤷‍♂️ omg,"['quality', 'fine', 'ig', 'man_shrugging', 'omg']",negative
110,brooo this thing is AMAZINGGG 😍🔥 🤣,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'rolling_on_the_floor_laughing']",positive
111,idk man... the site keeps lagging :( asap,"['idk', 'man', 'site', 'keeps', 'lagging', 'asap']",negative
112,haha they actually fixed it fast 👏👏 #loveit,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands']",positive
113,Received item late but okay quality.!!!,"['received', 'item', 'late', 'okay', 'quality']",negative
114,why the payment keeps failing 😡 @company pls fix!! ...,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix']",negative
115,no issues so far. nice job. 🤣,"['issues', 'far', 'nice', 'job', 'rolling_on_the_floor_laughing']",neutral
116,ugh... delivery took foreverrr 😤😤 smh,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'smh']",negative
117,quality was fine ig 🤷‍♂️ frfr,"['quality', 'fine', 'ig', 'man_shrugging', 'frfr']",negative
118,horrible! never ordering again 🤦‍♂️ ...,"['horrible', 'ordering', 'man_facepalming']",negative
119,brooo this thing is AMAZINGGG 😍🔥 @brand,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
120,customer srvc was great 👍👍 tbh,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'tbh']",positive
121,OMG 😍😍 this app is sooo cool!!! #awesome pls fix,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'pls', 'fix']",positive
122,meh... okay experience overall.,"['meh', 'okay', 'experience', 'overall']",negative
123,why the payment keeps failing 😡 @company pls fix!! #loveit,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix']",negative
124,haha they actually fixed it fast 👏👏 pls fix,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'pls', 'fix']",neutral
125,idk man... the site keeps lagging :( smh,"['idk', 'man', 'site', 'keeps', 'lagging', 'smh']",negative
126,meh... okay experience overall. asap,"['meh', 'okay', 'experience', 'overall', 'asap']",negative
127,update ruined everything smh 😩!!!,"['update', 'ruined', 'smh', 'weary_face']",negative
128,wtf was that error msg lol 😂😂 #loveit,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
129,why the payment keeps failing 😡 @company pls fix!! pls fix,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'pls', 'fix']",negative
130,why the payment keeps failing 😡 @company pls fix!! 😂😂,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
131,update ruined everything smh 😩 💀,"['update', 'ruined', 'smh', 'weary_face', 'skull']",negative
132,brooo this thing is AMAZINGGG 😍🔥 💀,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'skull']",positive
133,LOVED the new update!!! 💯💯🔥 pls fix,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'pls', 'fix']",negative
134,customer srvc was great 👍👍 frfr,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'frfr']",positive
135,Received item late but okay quality. pls fix,"['received', 'item', 'late', 'okay', 'quality', 'pls', 'fix']",negative
136,why the payment keeps failing 😡 @company pls fix!! haha,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'haha']",negative
137,haha got refund today finally 😂😂 frfr,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy', 'frfr']",positive
138,yayyyy my order arrived 🥳🥳🥳 frfr,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'frfr']",positive
139,horrible! never ordering again 🤦‍♂️ @brand,"['horrible', 'ordering', 'man_facepalming']",negative
140,brooo this thing is AMAZINGGG 😍🔥 😂😂,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
141,Product okish... not bad tbh. #loveit,"['product', 'okish', 'bad', 'tbh']",negative
142,ugh... delivery took foreverrr 😤😤 #fail,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
143,haha they actually fixed it fast 👏👏 tbh,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'tbh']",positive
144,idk man... the site keeps lagging :( smh,"['idk', 'man', 'site', 'keeps', 'lagging', 'smh']",negative
145,OMG 😍😍 this app is sooo cool!!! #awesome #review,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
146,order canceled without reason?? 💀,"['order', 'canceled', 'reason', 'skull']",negative
147,brooo this thing is AMAZINGGG 😍🔥 ...,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
148,no issues so far. nice job. #fail,"['issues', 'far', 'nice', 'job']",neutral
149,LOVED the new update!!! 💯💯🔥,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
150,Product okish... not bad tbh. 💀,"['product', 'okish', 'bad', 'tbh', 'skull']",negative
151,idk man... the site keeps lagging :( asap,"['idk', 'man', 'site', 'keeps', 'lagging', 'asap']",negative
152,order canceled without reason?? #fail,"['order', 'canceled', 'reason']",negative
153,yayyyy my order arrived 🥳🥳🥳 ...,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face']",positive
154,yayyyy my order arrived 🥳🥳🥳 asap,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'asap']",positive
155,Received item late but okay quality. #review,"['received', 'item', 'late', 'okay', 'quality']",negative
156,meh... okay experience overall. lol,"['meh', 'okay', 'experience', 'overall', 'lol']",neutral
157,update ruined everything smh 😩 @brand,"['update', 'ruined', 'smh', 'weary_face']",negative
158,LOVED the new update!!! 💯💯🔥!!!,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
159,order canceled without reason?? 🤣,"['order', 'canceled', 'reason', 'rolling_on_the_floor_laughing']",negative
160,no issues so far. nice job. #loveit,"['issues', 'far', 'nice', 'job']",neutral
161,ugh... delivery took foreverrr 😤😤 lol,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'lol']",negative
162,haha they actually fixed it fast 👏👏 🤣,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'rolling_on_the_floor_laughing']",positive
163,why the payment keeps failing 😡 @company pls fix!! pls fix,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'pls', 'fix']",negative
164,ugh... delivery took foreverrr 😤😤 #review,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
165,haha got refund today finally 😂😂 💀,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy', 'skull']",positive
166,quality was fine ig 🤷‍♂️ 💀,"['quality', 'fine', 'ig', 'man_shrugging', 'skull']",negative
167,haha they actually fixed it fast 👏👏,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands']",positive
168,Received item late but okay quality. 🤣,"['received', 'item', 'late', 'okay', 'quality', 'rolling_on_the_floor_laughing']",negative
169,ugh... delivery took foreverrr 😤😤 💀,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
170,LOVED the new update!!! 💯💯🔥 ...,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
171,order canceled without reason?? 💀,"['order', 'canceled', 'reason', 'skull']",negative
172,wtf was that error msg lol 😂😂 asap,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'asap']",negative
173,why the payment keeps failing 😡 @company pls fix!!,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix']",negative
174,what the hell is wrong with ur app?? 😤😤!!!,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
175,ugh... delivery took foreverrr 😤😤 omg,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'omg']",negative
176,horrible! never ordering again 🤦‍♂️ #fail,"['horrible', 'ordering', 'man_facepalming']",negative
177,Received item late but okay quality. #fail,"['received', 'item', 'late', 'okay', 'quality']",negative
178,yayyyy my order arrived 🥳🥳🥳,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face']",positive
179,horrible! never ordering again 🤦‍♂️ smh,"['horrible', 'ordering', 'man_facepalming', 'smh']",negative
180,wtf was that error msg lol 😂😂 ...,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
181,ugh... delivery took foreverrr 😤😤 frfr,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'frfr']",negative
182,Received item late but okay quality. #fail,"['received', 'item', 'late', 'okay', 'quality']",negative
183,update ruined everything smh 😩 haha,"['update', 'ruined', 'smh', 'weary_face', 'haha']",negative
184,OMG 😍😍 this app is sooo cool!!! #awesome haha,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'haha']",positive
185,wtf was that error msg lol 😂😂 #fail,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
186,ugh... delivery took foreverrr 😤😤 tbh,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'tbh']",negative
187,LOVED the new update!!! 💯💯🔥 😂😂,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
188,idk man... the site keeps lagging :( @brand,"['idk', 'man', 'site', 'keeps', 'lagging']",negative
189,why the payment keeps failing 😡 @company pls fix!!!!!,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix']",negative
190,horrible! never ordering again 🤦‍♂️ 💀,"['horrible', 'ordering', 'man_facepalming', 'skull']",negative
191,LOVED the new update!!! 💯💯🔥 ...,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
192,yayyyy my order arrived 🥳🥳🥳 🤣,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'rolling_on_the_floor_laughing']",positive
193,yayyyy my order arrived 🥳🥳🥳 asap,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'asap']",positive
194,customer srvc was great 👍👍 tbh,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'tbh']",positive
195,haha they actually fixed it fast 👏👏!!!,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands']",positive
196,OMG 😍😍 this app is sooo cool!!! #awesome #fail,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
197,idk man... the site keeps lagging :( lol,"['idk', 'man', 'site', 'keeps', 'lagging', 'lol']",negative
198,Product okish... not bad tbh. smh,"['product', 'okish', 'bad', 'tbh', 'smh']",negative
199,haha they actually fixed it fast 👏👏 #review,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands']",positive
200,what the hell is wrong with ur app?? 😤😤 pls fix,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'pls', 'fix']",negative
201,customer srvc was great 👍👍 frfr,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'frfr']",positive
202,brooo this thing is AMAZINGGG 😍🔥 frfr,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'frfr']",positive
203,no issues so far. nice job. #loveit,"['issues', 'far', 'nice', 'job']",neutral
204,ugh... delivery took foreverrr 😤😤 asap,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'asap']",negative
205,customer srvc was great 👍👍 #loveit,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
206,update ruined everything smh 😩 @brand,"['update', 'ruined', 'smh', 'weary_face']",negative
207,LOVED the new update!!! 💯💯🔥 omg,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'omg']",positive
208,horrible! never ordering again 🤦‍♂️ 🤣,"['horrible', 'ordering', 'man_facepalming', 'rolling_on_the_floor_laughing']",negative
209,wtf was that error msg lol 😂😂,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
210,what the hell is wrong with ur app?? 😤😤 #fail,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
211,customer srvc was great 👍👍 lol,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'lol']",positive
212,OMG 😍😍 this app is sooo cool!!! #awesome #review,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
213,quality was fine ig 🤷‍♂️ @brand,"['quality', 'fine', 'ig', 'man_shrugging']",negative
214,ugh... delivery took foreverrr 😤😤 pls fix,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'pls', 'fix']",negative
215,wtf was that error msg lol 😂😂 lol,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'lol']",positive
